
=== CAN Simulator — RANDOM MODE ===
Session  : encode-test
Speed    : 1.0x
Press Ctrl+C to stop

Session published: encode-test
  [1] Car_Status @ 1774961356.207s signals=['door_latche_status:6', 'selective_unlock_statuss:1']
  [2] Key_Button_Status @ 1774961356.207s signals=['Unlock_Button_status:3', 'lock_Button_status:1']
  [3] Contact_Status @ 1774961356.207s signals=['Drd_Status_Cont:1', 'PSD_Status_Cont:1']
  [4] Latch_Action @ 1774961356.207s signals=['Drd_Secure_latch_action:0', 'Drdr_Secure_latch_action:0']
  [5] Door_selective_unlock @ 1774961356.207s signals=['selective_unlock_action:1', 'Roc_Switch:2']
  [6] Wheel_Speed @ 1774961356.207s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [7] Suspension_Status @ 1774961356.207s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [8] Tyre_Pressure @ 1774961356.207s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [9] Body_Control @ 1774961356.207s signals=['Headlight_State:0', 'Wiper_State:0']
  [10] key_comm @ 1774961356.207s signals=['KEY_Pos:1', 'KEY_Butt:1']
  [11] Engine_Status @ 1774961356.207s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [12] Vehicle_Speed @ 1774961356.207s signals=['Speed_High:0', 'Speed_Low:0']
  [13] Steering_Status @ 1774961356.207s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [14] Transmission_Status @ 1774961356.207s signals=['Gear_Position:0', 'Gear_Number:0']
  [15] Brake_Status @ 1774961356.207s signals=['Brake_Pressure:0', 'ABS_State:0']
  [16] Fuel_Status @ 1774961356.207s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [17] Wheel_Speed @ 1774961356.262s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [18] Suspension_Status @ 1774961356.262s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [19] Tyre_Pressure @ 1774961356.262s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [20] Body_Control @ 1774961356.262s signals=['Headlight_State:0', 'Wiper_State:0']
  [21] Engine_Status @ 1774961356.262s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [22] Vehicle_Speed @ 1774961356.262s signals=['Speed_High:0', 'Speed_Low:0']
  [23] Steering_Status @ 1774961356.262s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [24] Transmission_Status @ 1774961356.262s signals=['Gear_Position:0', 'Gear_Number:0']
  [25] Brake_Status @ 1774961356.262s signals=['Brake_Pressure:0', 'ABS_State:0']
  [26] Fuel_Status @ 1774961356.262s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [27] Wheel_Speed @ 1774961356.313s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [28] Suspension_Status @ 1774961356.313s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [29] Tyre_Pressure @ 1774961356.313s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [30] Body_Control @ 1774961356.313s signals=['Headlight_State:0', 'Wiper_State:0']
  [31] Engine_Status @ 1774961356.313s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [32] Vehicle_Speed @ 1774961356.313s signals=['Speed_High:0', 'Speed_Low:0']
  [33] Steering_Status @ 1774961356.313s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [34] Transmission_Status @ 1774961356.313s signals=['Gear_Position:0', 'Gear_Number:0']
  [35] Brake_Status @ 1774961356.313s signals=['Brake_Pressure:0', 'ABS_State:0']
  [36] Fuel_Status @ 1774961356.313s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [37] Wheel_Speed @ 1774961356.364s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [38] Suspension_Status @ 1774961356.364s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [39] Tyre_Pressure @ 1774961356.364s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [40] Body_Control @ 1774961356.364s signals=['Headlight_State:0', 'Wiper_State:0']
  [41] Engine_Status @ 1774961356.364s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [42] Vehicle_Speed @ 1774961356.364s signals=['Speed_High:0', 'Speed_Low:0']
